search_term,package_title,package_name,organization,package_notes,metadata_created,metadata_modified,resource_name,resource_url,resource_format,resource_id
מתחמי התחדשות,התחדשות עירונית,urban_renewal,משרד הבינוי והשיכון,מתחמי התחדשות עירונית במסלולי רשויות ומיסוי אשר עברו הכרזה,2022-12-11T09:23:20.067901,2026-05-23T22:00:22.128551,מתחמי התחדשות עירונית,https://data.gov.il/dataset/0bfc2b7f-5ed6-426a-84de-1a6552a5c35f/resource/f65a0daf-f737-49c5-9424-d378d52104f5/download/hng_ur_mitchamimrashut.csv,CSV,f65a0daf-f737-49c5-9424-d378d52104f5
מתחמי התחדשות,שכבות מידע גיאוגרפי (GIS) - התחדשות ערונית,gis_urban_renewal,משרד הבינוי והשיכון,כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).,2022-11-06T07:52:22.120482,2026-04-01T01:00:09.751085,תוכניות מתאר של התחדשות עירונית,https://data.gov.il/dataset/1de95a22-576e-4e9c-b7c4-59db01d85290/resource/38555a84-8523-4ab1-9fe5-df6b523c15ea/download/masterplans.zip,ZIP,38555a84-8523-4ab1-9fe5-df6b523c15ea
מתחמי התחדשות,שכבות מידע גיאוגרפי (GIS) - התחדשות ערונית,gis_urban_renewal,משרד הבינוי והשיכון,כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).,2022-11-06T07:52:22.120482,2026-04-01T01:00:09.751085,מתחמי התחדשות עירונית מוכרזים,https://data.gov.il/dataset/1de95a22-576e-4e9c-b7c4-59db01d85290/resource/ceb7bbb0-e2db-4e87-8a6c-0a250f5de001/download/officiallydeclaredprojects.zip,ZIP,ceb7bbb0-e2db-4e87-8a6c-0a250f5de001
urban renewal,התחדשות עירונית,urban_renewal,משרד הבינוי והשיכון,מתחמי התחדשות עירונית במסלולי רשויות ומיסוי אשר עברו הכרזה,2022-12-11T09:23:20.067901,2026-05-23T22:00:22.128551,מתחמי התחדשות עירונית,https://data.gov.il/dataset/0bfc2b7f-5ed6-426a-84de-1a6552a5c35f/resource/f65a0daf-f737-49c5-9424-d378d52104f5/download/hng_ur_mitchamimrashut.csv,CSV,f65a0daf-f737-49c5-9424-d378d52104f5
urban renewal,שכבות מידע גיאוגרפי (GIS) - התחדשות ערונית,gis_urban_renewal,משרד הבינוי והשיכון,כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).,2022-11-06T07:52:22.120482,2026-04-01T01:00:09.751085,תוכניות מתאר של התחדשות עירונית,https://data.gov.il/dataset/1de95a22-576e-4e9c-b7c4-59db01d85290/resource/38555a84-8523-4ab1-9fe5-df6b523c15ea/download/masterplans.zip,ZIP,38555a84-8523-4ab1-9fe5-df6b523c15ea
urban renewal,שכבות מידע גיאוגרפי (GIS) - התחדשות ערונית,gis_urban_renewal,משרד הבינוי והשיכון,כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).,2022-11-06T07:52:22.120482,2026-04-01T01:00:09.751085,מתחמי התחדשות עירונית מוכרזים,https://data.gov.il/dataset/1de95a22-576e-4e9c-b7c4-59db01d85290/resource/ceb7bbb0-e2db-4e87-8a6c-0a250f5de001/download/officiallydeclaredprojects.zip,ZIP,ceb7bbb0-e2db-4e87-8a6c-0a250f5de001
renewal,התחדשות עירונית,urban_renewal,משרד הבינוי והשיכון,מתחמי התחדשות עירונית במסלולי רשויות ומיסוי אשר עברו הכרזה,2022-12-11T09:23:20.067901,2026-05-23T22:00:22.128551,מתחמי התחדשות עירונית,https://data.gov.il/dataset/0bfc2b7f-5ed6-426a-84de-1a6552a5c35f/resource/f65a0daf-f737-49c5-9424-d378d52104f5/download/hng_ur_mitchamimrashut.csv,CSV,f65a0daf-f737-49c5-9424-d378d52104f5
renewal,שכבות מידע גיאוגרפי (GIS) - התחדשות ערונית,gis_urban_renewal,משרד הבינוי והשיכון,כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).,2022-11-06T07:52:22.120482,2026-04-01T01:00:09.751085,תוכניות מתאר של התחדשות עירונית,https://data.gov.il/dataset/1de95a22-576e-4e9c-b7c4-59db01d85290/resource/38555a84-8523-4ab1-9fe5-df6b523c15ea/download/masterplans.zip,ZIP,38555a84-8523-4ab1-9fe5-df6b523c15ea
renewal,שכבות מידע גיאוגרפי (GIS) - התחדשות ערונית,gis_urban_renewal,משרד הבינוי והשיכון,כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).,2022-11-06T07:52:22.120482,2026-04-01T01:00:09.751085,מתחמי התחדשות עירונית מוכרזים,https://data.gov.il/dataset/1de95a22-576e-4e9c-b7c4-59db01d85290/resource/ceb7bbb0-e2db-4e87-8a6c-0a250f5de001/download/officiallydeclaredprojects.zip,ZIP,ceb7bbb0-e2db-4e87-8a6c-0a250f5de001
housing,בתי דיור,hostelsgis,משרד הבינוי והשיכון,"מאגר זה מכיל שני משאבים : 
1) מידע כללי אודות בתי הדיור, המיועדים לאכלוס זכאי משרד הקליטה ומשרד הבינוי והשיכון בגיל הזהב. בתי דיור אלו מנוהלים ע""י חברות שונות. 
2) קובץ GIS המכיל את פרטי בתי הדיור.",2023-11-20T06:47:36.218413,2026-05-26T20:00:11.628055,שכבת נתוני בית דיור גיל זהב,https://data.gov.il/dataset/b08fae4e-d4b1-4936-bec0-9340ee2db9b5/resource/0c6fa0a9-a0ef-4860-aa42-ba4d4c78caa4/download/hng_ncs_hostelsgis.csv,CSV,0c6fa0a9-a0ef-4860-aa42-ba4d4c78caa4
housing,בתי דיור,hostelsgis,משרד הבינוי והשיכון,"מאגר זה מכיל שני משאבים : 
1) מידע כללי אודות בתי הדיור, המיועדים לאכלוס זכאי משרד הקליטה ומשרד הבינוי והשיכון בגיל הזהב. בתי דיור אלו מנוהלים ע""י חברות שונות. 
2) קובץ GIS המכיל את פרטי בתי הדיור.",2023-11-20T06:47:36.218413,2026-05-26T20:00:11.628055,שכבת נתוני בית דיור גיל זהב GIS,https://data.gov.il/dataset/b08fae4e-d4b1-4936-bec0-9340ee2db9b5/resource/55bf6bca-e639-4503-8514-4543905b0687/download/hng_ncs_hostelsgis.zip,ZIP,55bf6bca-e639-4503-8514-4543905b0687
housing,נתונים תקופתיים - תכנית דירה בהנחה,mechir-lamishtaken,משרד הבינוי והשיכון,"במאגר זה מתפרסמים נתונים סטטיסטיים תקופתיים בנושא תכנית דירה בהנחה.

קישור לדף נתונים סטטיסטיים שבועיים נוספים:

https://www.gov.il/he/Departments/publications/reports/mishtaken_statistics",2016-08-30T08:04:24.107834,2026-05-26T09:30:18.043025,מעקב אחר הגרלות דירה בהנחה,https://data.gov.il/dataset/31176aa8-1609-4b42-911b-2b0f38ba4dd3/resource/7c8255d0-49ef-49db-8904-4cf917586031/download/hng_hagralotmechirlmishtaken.csv,CSV,7c8255d0-49ef-49db-8904-4cf917586031
housing,נתונים תקופתיים - תכנית דירה בהנחה,mechir-lamishtaken,משרד הבינוי והשיכון,"במאגר זה מתפרסמים נתונים סטטיסטיים תקופתיים בנושא תכנית דירה בהנחה.

קישור לדף נתונים סטטיסטיים שבועיים נוספים:

https://www.gov.il/he/Departments/publications/reports/mishtaken_statistics",2016-08-30T08:04:24.107834,2026-05-26T09:30:18.043025,דירות למכירה ללא הגרלה,https://data.gov.il/dataset/31176aa8-1609-4b42-911b-2b0f38ba4dd3/resource/ea93b3c9-15e2-4b74-a632-097ee53737e4/download/hng_hagralotdirotpnuyot4sale.csv,CSV,ea93b3c9-15e2-4b74-a632-097ee53737e4
housing,פנקס הקבלנים הרשומים,pinkashakablanim,משרד הבינוי והשיכון,"המאגר כולל מידע על קבלנים רשומים ועל סיווג העבודות שהם מורשים לבצע. המידע חיוני לכל מי שנדרש לעבוד מול קבלנים: אזרחים, רשויות מקומיות ומשרדי ממשלה. ",2017-11-15T13:59:17.842007,2026-05-25T00:01:20.327148,פנקס הקבלנים הרשומים,https://data.gov.il/dataset/a545d0ba-0d30-4fbc-be38-e965c5dae56b/resource/4eb61bd6-18cf-4e7c-9f9c-e166dfa0a2d8/download/hng_pinkaskablanim.csv,CSV,4eb61bd6-18cf-4e7c-9f9c-e166dfa0a2d8
housing,התחדשות עירונית,urban_renewal,משרד הבינוי והשיכון,מתחמי התחדשות עירונית במסלולי רשויות ומיסוי אשר עברו הכרזה,2022-12-11T09:23:20.067901,2026-05-23T22:00:22.128551,מתחמי התחדשות עירונית,https://data.gov.il/dataset/0bfc2b7f-5ed6-426a-84de-1a6552a5c35f/resource/f65a0daf-f737-49c5-9424-d378d52104f5/download/hng_ur_mitchamimrashut.csv,CSV,f65a0daf-f737-49c5-9424-d378d52104f5
housing,דירות הדיור הציבורי,diurtziburi,משרד הבינוי והשיכון,"מאגר זה מכיל שלושה משאבים: מלאי דירות הדיור הציבורי הראויות למגורים ופנויות למעלה משלושה חודשים, דוח מלאי דירות הדיור הציבורי, ודוח רכישת דירות למלאי הדיור.",2019-03-03T14:55:12.570207,2026-05-21T23:00:15.773794,דירות פנויות בדיור הציבורי,https://data.gov.il/dataset/41c2db9f-4615-4864-af15-5350d794c99c/resource/c3a68837-9b7a-4ee7-bd92-130678dc8ae3/download/hng_ncs_vacantapartments.csv,CSV,c3a68837-9b7a-4ee7-bd92-130678dc8ae3
housing,דירות הדיור הציבורי,diurtziburi,משרד הבינוי והשיכון,"מאגר זה מכיל שלושה משאבים: מלאי דירות הדיור הציבורי הראויות למגורים ופנויות למעלה משלושה חודשים, דוח מלאי דירות הדיור הציבורי, ודוח רכישת דירות למלאי הדיור.",2019-03-03T14:55:12.570207,2026-05-21T23:00:15.773794,מלאי הדירות בדיור הציבורי,https://data.gov.il/dataset/41c2db9f-4615-4864-af15-5350d794c99c/resource/ece87d7d-d79f-4278-8559-921218bc2b6a/download/hng_ncs_propertiesbyrooms.csv,CSV,ece87d7d-d79f-4278-8559-921218bc2b6a
housing,דירות הדיור הציבורי,diurtziburi,משרד הבינוי והשיכון,"מאגר זה מכיל שלושה משאבים: מלאי דירות הדיור הציבורי הראויות למגורים ופנויות למעלה משלושה חודשים, דוח מלאי דירות הדיור הציבורי, ודוח רכישת דירות למלאי הדיור.",2019-03-03T14:55:12.570207,2026-05-21T23:00:15.773794,רכש דירות למלאי הדיור הציבורי,https://data.gov.il/dataset/41c2db9f-4615-4864-af15-5350d794c99c/resource/d6d2046b-ccba-4d09-8778-ee9aa57cdf0c/download/hng_ncs_propertypurchases.csv,CSV,d6d2046b-ccba-4d09-8778-ee9aa57cdf0c
housing,דירות הדיור הציבורי,diurtziburi,משרד הבינוי והשיכון,"מאגר זה מכיל שלושה משאבים: מלאי דירות הדיור הציבורי הראויות למגורים ופנויות למעלה משלושה חודשים, דוח מלאי דירות הדיור הציבורי, ודוח רכישת דירות למלאי הדיור.",2019-03-03T14:55:12.570207,2026-05-21T23:00:15.773794,מסמך הסבר - מאגר דירות הדיור הציבורי,https://data.gov.il/dataset/41c2db9f-4615-4864-af15-5350d794c99c/resource/ab8d68f9-4d31-4a43-8edb-e9b5fa343c08/download/-20202.pdf,PDF,ab8d68f9-4d31-4a43-8edb-e9b5fa343c08
housing,שכבות מידע גיאוגרפי (GIS) של משרד הבינוי והשיכון,gis-_,משרד הבינוי והשיכון,"כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).
המאגר מתעדכן פעם בחודש.
",2022-08-11T07:26:14.564686,2026-05-01T07:00:25.260632,שכבת שיקום שכונות (שיפוץ מבנים),https://data.gov.il/dataset/ee626064-7d09-401c-9f32-d5d8947cfc6e/resource/6a52e766-76b7-4de2-b767-dc6caf12ae1f/download/rehabilitation_renovation.zip,ZIP,6a52e766-76b7-4de2-b767-dc6caf12ae1f
housing,שכבות מידע גיאוגרפי (GIS) של משרד הבינוי והשיכון,gis-_,משרד הבינוי והשיכון,"כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).
המאגר מתעדכן פעם בחודש.
",2022-08-11T07:26:14.564686,2026-05-01T07:00:25.260632,שכבת שיקום שכונות (גבולות השכונות),https://data.gov.il/dataset/ee626064-7d09-401c-9f32-d5d8947cfc6e/resource/3738b4fb-55c9-4d91-8e96-832f566364b8/download/rehabilitation.zip,ZIP,3738b4fb-55c9-4d91-8e96-832f566364b8
housing,שכבות מידע גיאוגרפי (GIS) של משרד הבינוי והשיכון,gis-_,משרד הבינוי והשיכון,"כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).
המאגר מתעדכן פעם בחודש.
",2022-08-11T07:26:14.564686,2026-05-01T07:00:25.260632,שכבות מחיר למשתכן ,https://data.gov.il/dataset/ee626064-7d09-401c-9f32-d5d8947cfc6e/resource/942efa87-f180-45a4-9b9a-f041b6021502/download/gis_dira.zip,ZIP,942efa87-f180-45a4-9b9a-f041b6021502
housing,שכבות מידע גיאוגרפי (GIS) של משרד הבינוי והשיכון,gis-_,משרד הבינוי והשיכון,"כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).
המאגר מתעדכן פעם בחודש.
",2022-08-11T07:26:14.564686,2026-05-01T07:00:25.260632,שכבת מחוזות משרד הבינוי והשיכון,https://data.gov.il/dataset/ee626064-7d09-401c-9f32-d5d8947cfc6e/resource/a179fd6a-c493-49d8-ad7c-d225e99b416f/download/districts.zip,ZIP,a179fd6a-c493-49d8-ad7c-d225e99b416f
housing,שכבות מידע גיאוגרפי (GIS) של משרד הבינוי והשיכון,gis-_,משרד הבינוי והשיכון,"כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).
המאגר מתעדכן פעם בחודש.
",2022-08-11T07:26:14.564686,2026-05-01T07:00:25.260632,מקרא לשכבת שיקום שכונות - שיפוץ מבנים,https://data.gov.il/dataset/ee626064-7d09-401c-9f32-d5d8947cfc6e/resource/69116559-8225-444b-922d-56c5e08adb42/download/-.docx,DOCX,69116559-8225-444b-922d-56c5e08adb42
housing,שיקום שכונות,shikumshchunot,משרד הבינוי והשיכון,שיקום שכונות,2021-12-19T08:23:09.565977,2026-05-01T01:00:25.194201,שיקום שכונות פיזי תשתיות,https://data.gov.il/dataset/cbe4227e-c63d-4181-a126-b4a4436e122b/resource/a66f8a88-9c7a-440e-b206-0c0d84ce9b7a/download/hng_ssfz_tashtit.csv,CSV,a66f8a88-9c7a-440e-b206-0c0d84ce9b7a
housing,שיקום שכונות,shikumshchunot,משרד הבינוי והשיכון,שיקום שכונות,2021-12-19T08:23:09.565977,2026-05-01T01:00:25.194201,שיקום שכונות פיזי שיפוץ מבנים,https://data.gov.il/dataset/cbe4227e-c63d-4181-a126-b4a4436e122b/resource/f698a52e-48a4-4fe6-a410-763d41bef909/download/hng_ssfz_tashtit.csv,CSV,f698a52e-48a4-4fe6-a410-763d41bef909
housing,שיקום שכונות,shikumshchunot,משרד הבינוי והשיכון,שיקום שכונות,2021-12-19T08:23:09.565977,2026-05-01T01:00:25.194201,שיקום שכונות חברתי,https://data.gov.il/dataset/cbe4227e-c63d-4181-a126-b4a4436e122b/resource/34a17cb5-fb30-4ecf-bb25-5ba30ca22d35/download/hng_sshv_sum_hashkaa.csv,CSV,34a17cb5-fb30-4ecf-bb25-5ba30ca22d35
housing,פיתוח ותשתית,tichnun-pituah,משרד הבינוי והשיכון,"כאן תוכלו לקבל נתונים על מכרזי פיתוח ותשתית של משרד הבינוי והשיכון. 
המאגר מתעדכן פעם בחודש.",2018-06-04T08:05:12.027340,2026-05-01T00:20:10.588408,תוצאות מכרזי פיתוח ותשתית,https://data.gov.il/dataset/62c626d7-e01a-48ff-8f66-f5a502bac5c7/resource/04e375ef-08a6-4327-8044-7bd595c4d106/download/hng_pituahmichrazdetails.csv,CSV,04e375ef-08a6-4327-8044-7bd595c4d106
housing,פיתוח ותשתית,tichnun-pituah,משרד הבינוי והשיכון,"כאן תוכלו לקבל נתונים על מכרזי פיתוח ותשתית של משרד הבינוי והשיכון. 
המאגר מתעדכן פעם בחודש.",2018-06-04T08:05:12.027340,2026-05-01T00:20:10.588408,סכומי ההצעות למכרזי הפיתוח והתשתית,https://data.gov.il/dataset/62c626d7-e01a-48ff-8f66-f5a502bac5c7/resource/722aebc6-5541-46fa-abcf-15b06e02c70c/download/hng_pituachmichrazhazmanot.csv,CSV,722aebc6-5541-46fa-abcf-15b06e02c70c
housing,רשימת מתכננים ומודדים,metachnenim,משרד הבינוי והשיכון,"במאגר זה רשומים מתכננים, מודדים ובעלי מקצוע אחרים, והוא כולל מידע על התמחויות מקצועיות של בעלי המקצוע וכן פרטי התקשרות עמם.",2017-11-15T09:30:32.991961,2026-05-01T00:10:06.015823,רשימת מודדים ומתכננים,https://data.gov.il/dataset/688d7791-b596-4b64-a307-113e8258b12a/resource/a8ca5203-7adc-4bc1-a0ed-3fd4eaa74dcc/download/hng_metachnenim.csv,CSV,a8ca5203-7adc-4bc1-a0ed-3fd4eaa74dcc
housing,עלויות פיתוח בבניה העירונית,aluyot-pituach,משרד הבינוי והשיכון,"המאגר מכיל את נתוני עלויות הפיתוח בבניה העירונית, עבור מכרזים פתוחים שעלויותיהם אושרו על ידי משרד הבינוי והשיכון, והמידע הועבר לרשות מקרקעי ישראל (רמ""י) לצורך פרסום. ",2019-11-10T07:18:23.286483,2026-05-01T00:05:16.550674,עלויות פיתוח בבניה העירונית,https://data.gov.il/dataset/81f981ad-bba3-4d99-ada4-a7a1c2a38eb0/resource/bf164a03-55c7-4bea-8740-66ce60a51a2c/download/hng_aluiotpituah.csv,CSV,bf164a03-55c7-4bea-8740-66ce60a51a2c
housing,שכבות מידע גיאוגרפי (GIS) - התחדשות ערונית,gis_urban_renewal,משרד הבינוי והשיכון,כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).,2022-11-06T07:52:22.120482,2026-04-01T01:00:09.751085,תוכניות מתאר של התחדשות עירונית,https://data.gov.il/dataset/1de95a22-576e-4e9c-b7c4-59db01d85290/resource/38555a84-8523-4ab1-9fe5-df6b523c15ea/download/masterplans.zip,ZIP,38555a84-8523-4ab1-9fe5-df6b523c15ea
housing,שכבות מידע גיאוגרפי (GIS) - התחדשות ערונית,gis_urban_renewal,משרד הבינוי והשיכון,כדי לצפות בשכבות וכדי לעיין בנתונים יש להיעזר בתוכנות לצפייה בנתונים גיאוגרפים (GIS).,2022-11-06T07:52:22.120482,2026-04-01T01:00:09.751085,מתחמי התחדשות עירונית מוכרזים,https://data.gov.il/dataset/1de95a22-576e-4e9c-b7c4-59db01d85290/resource/ceb7bbb0-e2db-4e87-8a6c-0a250f5de001/download/officiallydeclaredprojects.zip,ZIP,ceb7bbb0-e2db-4e87-8a6c-0a250f5de001
housing,בתי דיור מוגן بيوت الإسكان المحمي,molsa-protected-houses-list-ar,משרד הרווחה והביטחון החברתי,نلفت انتباهكم إلى إنه لم يتم بعد منح الترخيص لبيت الإسكان المحمي. الموضوع بانتظار المصادقة على أنظمة الإسكان المحمي في الكنيست.,2021-09-29T09:19:48.639695,2026-01-18T08:59:03.972746,بيوت الإسكان المحمي בתי דיור מוגן ,https://data.gov.il/dataset/868c78fa-edd3-4fea-acdf-382f600ef19e/resource/7f3b5887-bacd-4f49-b220-4cae2a417cdb/download/-08092025-.xlsx,XLSX,7f3b5887-bacd-4f49-b220-4cae2a417cdb
housing,בתי דיור מוגן بيوت الإسكان المحمي,molsa-protected-houses-list-ar,משרד הרווחה והביטחון החברתי,نلفت انتباهكم إلى إنه لم يتم بعد منح الترخيص لبيت الإسكان المحمي. الموضوع بانتظار المصادقة على أنظمة الإسكان المحمي في الكنيست.,2021-09-29T09:19:48.639695,2026-01-18T08:59:03.972746,הסבר מבנה הנתונים בקובץ בתי דיור מוגן ,https://data.gov.il/dataset/868c78fa-edd3-4fea-acdf-382f600ef19e/resource/eed0f68d-9dae-4347-8e32-3ccc09eaf2b1/download/-30.9.21.pdf,PDF,eed0f68d-9dae-4347-8e32-3ccc09eaf2b1
housing,התקדמות הבניה,hitkadmuthabnia,משרד הבינוי והשיכון,מאגר התקדמות הבנייה במשרד הבינוי והשיכון כולל נתוני דיווח המתקבלים ממנהלי הפרויקטים וממרכזי התקדמות הבנייה במחוזות המשרד בדבר התקדמות הפרויקטים השונים. המידע מתייחס לפרויקטים שמשרד הבינוי והשיכון שיווק בלבד. ,2018-08-26T08:32:18.442497,2024-05-28T09:28:59.983270,דיווחי התקדמות הבניה - בניה רוויה,https://data.gov.il/dataset/a8a16612-69c6-4ae9-952b-b1c7332d08ec/resource/1ec45809-5927-430a-9b30-77f77f528ce3/download/hng_hitkadmuthabnia.csv,CSV,1ec45809-5927-430a-9b30-77f77f528ce3
housing,עובדות סוציאליות להתאמות דיור לאנשים עם מוגבלויות,housing-social-workers,משרד הבריאות,,2021-05-19T03:01:02.821288,2023-03-21T18:32:47.687636,עובדות סוציאליות להתאמות בדיור עבור אנשים עם מוגבלויות,https://data.gov.il/dataset/b3248d2a-0b03-4e58-b035-79cc4f995460/resource/59549db7-e1a4-40f2-9311-daaa75781529/download/housing-social-workers-14032022.xls,XLS,59549db7-e1a4-40f2-9311-daaa75781529
