search_term,package_title,package_name,organization,package_notes,metadata_created,metadata_modified,resource_name,resource_url,resource_format,resource_id,strict_urban_renewal_match,broad_related_match,explicit_urban_renewal_source,matched_strict_keywords,matched_broad_keywords,detected_relevance_reason,preferred_format,candidate_decision,candidate_decision_reason
housing,דירות הדיור הציבורי,diurtziburi,משרד הבינוי והשיכון,"מאגר זה מכיל שלושה משאבים: מלאי דירות הדיור הציבורי הראויות למגורים ופנויות למעלה משלושה חודשים, דוח מלאי דירות הדיור הציבורי, ודוח רכישת דירות למלאי הדיור.",2019-03-03T14:55:12.570207,2026-05-21T23:00:15.773794,מסמך הסבר - מאגר דירות הדיור הציבורי,https://data.gov.il/dataset/41c2db9f-4615-4864-af15-5350d794c99c/resource/ab8d68f9-4d31-4a43-8edb-e9b5fa343c08/download/-20202.pdf,PDF,ab8d68f9-4d31-4a43-8edb-e9b5fa343c08,False,True,False,[],"[""דיור""]",matched keyword: דיור,False,exclude,Relevant metadata but unsupported or missing resource format.
housing,בתי דיור מוגן بيوت الإسكان المحمي,molsa-protected-houses-list-ar,משרד הרווחה והביטחון החברתי,نلفت انتباهكم إلى إنه لم يتم بعد منح الترخيص لبيت الإسكان المحمي. الموضوع بانتظار المصادقة على أنظمة الإسكان المحمي في الكنيست.,2021-09-29T09:19:48.639695,2026-01-18T08:59:03.972746,بيوت الإسكان المحمي בתי דיור מוגן ,https://data.gov.il/dataset/868c78fa-edd3-4fea-acdf-382f600ef19e/resource/7f3b5887-bacd-4f49-b220-4cae2a417cdb/download/-08092025-.xlsx,XLSX,7f3b5887-bacd-4f49-b220-4cae2a417cdb,False,True,False,[],"[""דיור""]",matched keyword: דיור,True,metadata_only,Broad planning/housing metadata only; not strict enough for automatic ingestion.
housing,בתי דיור מוגן بيوت الإسكان المحمي,molsa-protected-houses-list-ar,משרד הרווחה והביטחון החברתי,نلفت انتباهكم إلى إنه لم يتم بعد منح الترخيص لبيت الإسكان المحمي. الموضوع بانتظار المصادقة على أنظمة الإسكان المحمي في الكنيست.,2021-09-29T09:19:48.639695,2026-01-18T08:59:03.972746,הסבר מבנה הנתונים בקובץ בתי דיור מוגן ,https://data.gov.il/dataset/868c78fa-edd3-4fea-acdf-382f600ef19e/resource/eed0f68d-9dae-4347-8e32-3ccc09eaf2b1/download/-30.9.21.pdf,PDF,eed0f68d-9dae-4347-8e32-3ccc09eaf2b1,False,True,False,[],"[""דיור""]",matched keyword: דיור,False,exclude,Relevant metadata but unsupported or missing resource format.
housing,עובדות סוציאליות להתאמות דיור לאנשים עם מוגבלויות,housing-social-workers,משרד הבריאות,,2021-05-19T03:01:02.821288,2023-03-21T18:32:47.687636,עובדות סוציאליות להתאמות בדיור עבור אנשים עם מוגבלויות,https://data.gov.il/dataset/b3248d2a-0b03-4e58-b035-79cc4f995460/resource/59549db7-e1a4-40f2-9311-daaa75781529/download/housing-social-workers-14032022.xls,XLS,59549db7-e1a4-40f2-9311-daaa75781529,False,True,False,[],"[""דיור"", ""housing""]",matched keyword: דיור; matched keyword: housing,True,metadata_only,Broad planning/housing metadata only; not strict enough for automatic ingestion.
תכנון,רכבת תכנון מול ביצוע,train_trip,משרד התחבורה והבטיחות בדרכים,"מאגר זה מציג את התכנון של הנסיעות, ביצוען ואחוזי הביצוע של הרכבת הארצית בתחבורה הציבורית. הקובץ יתעדכן אחת לחודש עם הנתונים הבאים: שנה, חודש, מספר רכבת, תחנת מוצא, תחנת יעד, סה""כ נסיעות רישוי, נסיעות רישוי בלבד (ללא ביצוע), נסיעות ביצוע בלבד (ללא רישוי), אחוז ביצוע.
--- כרגע אין צפי לקבלת נתונים ---",2020-08-31T11:42:24.168581,2026-05-27T10:40:00.697919,רכבת תכנון מול ביצוע,https://data.gov.il/dataset/63b7bf0b-69eb-4a73-9b98-b9fd2b8a4b5b/resource/6cf35ec2-c0eb-4ef0-a904-f093dab0abfd/download/6cf35ec2-c0eb-4ef0-a904-f093dab0abfd.csv,CSV,6cf35ec2-c0eb-4ef0-a904-f093dab0abfd,False,True,False,[],"[""תכנון""]",matched keyword: תכנון,True,metadata_only,Broad planning/housing metadata only; not strict enough for automatic ingestion.
תכנון,רכבת תכנון מול ביצוע,train_trip,משרד התחבורה והבטיחות בדרכים,"מאגר זה מציג את התכנון של הנסיעות, ביצוען ואחוזי הביצוע של הרכבת הארצית בתחבורה הציבורית. הקובץ יתעדכן אחת לחודש עם הנתונים הבאים: שנה, חודש, מספר רכבת, תחנת מוצא, תחנת יעד, סה""כ נסיעות רישוי, נסיעות רישוי בלבד (ללא ביצוע), נסיעות ביצוע בלבד (ללא רישוי), אחוז ביצוע.
--- כרגע אין צפי לקבלת נתונים ---",2020-08-31T11:42:24.168581,2026-05-27T10:40:00.697919,מבנה הנתונים במאגר,https://data.gov.il/dataset/63b7bf0b-69eb-4a73-9b98-b9fd2b8a4b5b/resource/9bf5f8d5-3b2e-4852-9055-bf2408cfd2dd/download/train_trip_structure_05-11-2020.pdf,PDF,9bf5f8d5-3b2e-4852-9055-bf2408cfd2dd,False,True,False,[],"[""תכנון""]",matched keyword: תכנון,False,exclude,Relevant metadata but unsupported or missing resource format.
תכנון,מבנים ירוקים,greenbuildings,המשרד להגנת הסביבה,"מאגר זה מפורסם ע""י המשרד להגנת הסביבה וכולל מידע על מבנים ירוקים בתהליכי תכנון ובנייה הנבנים בהתאם לתקן בנייה ירוקה- ת""י 5281 . המידע מתקבל ממעבדות מאושרות לבדיקת ת""י 5281 , בכפוף לתנאים הקבועים בנוהל 12-2020-01  ומציג את מועדי מתן האישור ורמת הציות לדרישות ת""י 5281 של המבנה הנבדק . בכל מקרה, המידע התקף הינו המידע המופיע באישורים שמסרה המעבדה לנבדק בהתאם לדרישות התקן.
מידע על מבנים ירוקים: https://www.gov.il/he/departments/guides/green_building_in_israel
מידע על המעבדות: https://www.gov.il/he/departments/guides/green_building_in_israel
נוהל מסירת מידע ממעבדות לפרסום מבנים בבנייה ירוקה - https://www.gov.il/he/departments/policies/information_from_lab",2016-03-09T13:18:46.942653,2026-05-27T07:00:54.116058,מבנים בבנייה ירוקה - בהתאם לתקן 5281,https://data.gov.il/dataset/a3cec603-dd66-49de-af14-a612754a7b9a/resource/7f467a30-58cd-44b5-86f0-d570cc7d25ad/download/7f467a30-58cd-44b5-86f0-d570cc7d25ad.csv,CSV,7f467a30-58cd-44b5-86f0-d570cc7d25ad,False,True,False,[],"[""תכנון""]",matched keyword: תכנון,True,metadata_only,Broad planning/housing metadata only; not strict enough for automatic ingestion.
תכנון,מבנים לשימור,buildings-preservation-br7,עיריית באר שבע,"מיקומי המבנים לשימור הנמצאים ברחבי העיר - כפי שהוגדרו בתכנית המתאר העירונית ובוועדת השימור העירונית, שכבות שימור המבנים, הגדרות ומתחמים.

על מנת לקבל תמונה מלאה, מומלץ להוריד את השכבות ולצפות בהן יחד.",2022-10-27T08:01:00.664050,2026-05-10T01:13:09.233727,שימור אלמנטים - GeoJSON-ITM,https://data.gov.il/dataset/0e8a1152-1cf2-4a9d-9fe8-2bfd7f60d970/resource/397f8350-32ed-4921-9e2c-3b827ce3b219/download/buildings-preservation-.itm.geojson,GeoJSON,397f8350-32ed-4921-9e2c-3b827ce3b219,False,True,False,[],"[""תכנית""]",matched keyword: תכנית,True,metadata_only,Broad planning/housing metadata only; not strict enough for automatic ingestion.
תכנון,מבנים לשימור,buildings-preservation-br7,עיריית באר שבע,"מיקומי המבנים לשימור הנמצאים ברחבי העיר - כפי שהוגדרו בתכנית המתאר העירונית ובוועדת השימור העירונית, שכבות שימור המבנים, הגדרות ומתחמים.

על מנת לקבל תמונה מלאה, מומלץ להוריד את השכבות ולצפות בהן יחד.",2022-10-27T08:01:00.664050,2026-05-10T01:13:09.233727,מבנים לשימור - GeoXML,https://data.gov.il/dataset/0e8a1152-1cf2-4a9d-9fe8-2bfd7f60d970/resource/11e06249-34f4-41d6-a8dc-39e0979db94b/download/buildings-preservation-.xml,XML,11e06249-34f4-41d6-a8dc-39e0979db94b,False,True,False,[],"[""תכנית""]",matched keyword: תכנית,False,exclude,Relevant metadata but unsupported or missing resource format.
תכנון,מבנים לשימור,buildings-preservation-br7,עיריית באר שבע,"מיקומי המבנים לשימור הנמצאים ברחבי העיר - כפי שהוגדרו בתכנית המתאר העירונית ובוועדת השימור העירונית, שכבות שימור המבנים, הגדרות ומתחמים.

על מנת לקבל תמונה מלאה, מומלץ להוריד את השכבות ולצפות בהן יחד.",2022-10-27T08:01:00.664050,2026-05-10T01:13:09.233727,מבנים לשימור - KML,https://data.gov.il/dataset/0e8a1152-1cf2-4a9d-9fe8-2bfd7f60d970/resource/ec14bfe5-2d92-471e-8fca-63caaca0b263/download/buildings-preservation-.kml,KML,ec14bfe5-2d92-471e-8fca-63caaca0b263,False,True,False,[],"[""תכנית""]",matched keyword: תכנית,False,exclude,Relevant metadata but unsupported or missing resource format.
תכנון,מבנים לשימור,buildings-preservation-br7,עיריית באר שבע,"מיקומי המבנים לשימור הנמצאים ברחבי העיר - כפי שהוגדרו בתכנית המתאר העירונית ובוועדת השימור העירונית, שכבות שימור המבנים, הגדרות ומתחמים.

על מנת לקבל תמונה מלאה, מומלץ להוריד את השכבות ולצפות בהן יחד.",2022-10-27T08:01:00.664050,2026-05-10T01:13:09.233727,מבנים לשימור - GeoJSON-ITM,https://data.gov.il/dataset/0e8a1152-1cf2-4a9d-9fe8-2bfd7f60d970/resource/a235c562-2916-4c47-a757-d2bd02dfd1bd/download/buildings-preservation-.itm.geojson,GeoJSON,a235c562-2916-4c47-a757-d2bd02dfd1bd,False,True,False,[],"[""תכנית""]",matched keyword: תכנית,True,metadata_only,Broad planning/housing metadata only; not strict enough for automatic ingestion.
תכנון,מבנים לשימור,buildings-preservation-br7,עיריית באר שבע,"מיקומי המבנים לשימור הנמצאים ברחבי העיר - כפי שהוגדרו בתכנית המתאר העירונית ובוועדת השימור העירונית, שכבות שימור המבנים, הגדרות ומתחמים.

על מנת לקבל תמונה מלאה, מומלץ להוריד את השכבות ולצפות בהן יחד.",2022-10-27T08:01:00.664050,2026-05-10T01:13:09.233727,גדרות לשימור - GeoJSON-ITM,https://data.gov.il/dataset/0e8a1152-1cf2-4a9d-9fe8-2bfd7f60d970/resource/dad85f70-4cda-4c11-a878-c8346fb23c00/download/buildings-preservation-.itm.geojson,GeoJSON,dad85f70-4cda-4c11-a878-c8346fb23c00,False,True,False,[],"[""תכנית""]",matched keyword: תכנית,True,metadata_only,Broad planning/housing metadata only; not strict enough for automatic ingestion.
תכנון,מבנים לשימור,buildings-preservation-br7,עיריית באר שבע,"מיקומי המבנים לשימור הנמצאים ברחבי העיר - כפי שהוגדרו בתכנית המתאר העירונית ובוועדת השימור העירונית, שכבות שימור המבנים, הגדרות ומתחמים.

על מנת לקבל תמונה מלאה, מומלץ להוריד את השכבות ולצפות בהן יחד.",2022-10-27T08:01:00.664050,2026-05-10T01:13:09.233727,מבנים לשימור - CSV-ITM,https://data.gov.il/dataset/0e8a1152-1cf2-4a9d-9fe8-2bfd7f60d970/resource/6b01d4ce-5f08-4a2b-82f8-10e0faa3283b/download/buildings-preservation-.itm.csv,CSV,6b01d4ce-5f08-4a2b-82f8-10e0faa3283b,False,True,False,[],"[""תכנית""]",matched keyword: תכנית,True,metadata_only,Broad planning/housing metadata only; not strict enough for automatic ingestion.
תכנון,מבנים לשימור,buildings-preservation-br7,עיריית באר שבע,"מיקומי המבנים לשימור הנמצאים ברחבי העיר - כפי שהוגדרו בתכנית המתאר העירונית ובוועדת השימור העירונית, שכבות שימור המבנים, הגדרות ומתחמים.

על מנת לקבל תמונה מלאה, מומלץ להוריד את השכבות ולצפות בהן יחד.",2022-10-27T08:01:00.664050,2026-05-10T01:13:09.233727,מבנים לשימור - GeoXML-ITM,https://data.gov.il/dataset/0e8a1152-1cf2-4a9d-9fe8-2bfd7f60d970/resource/8b25f865-15f1-4cb5-917b-e8ad05ec1b6f/download/buildings-preservation-.itm.xml,XML,8b25f865-15f1-4cb5-917b-e8ad05ec1b6f,False,True,False,[],"[""תכנית""]",matched keyword: תכנית,False,exclude,Relevant metadata but unsupported or missing resource format.
תכנון,מבנים לשימור,buildings-preservation-br7,עיריית באר שבע,"מיקומי המבנים לשימור הנמצאים ברחבי העיר - כפי שהוגדרו בתכנית המתאר העירונית ובוועדת השימור העירונית, שכבות שימור המבנים, הגדרות ומתחמים.

על מנת לקבל תמונה מלאה, מומלץ להוריד את השכבות ולצפות בהן יחד.",2022-10-27T08:01:00.664050,2026-05-10T01:13:09.233727,מבנים לשימור - KML-ITM,https://data.gov.il/dataset/0e8a1152-1cf2-4a9d-9fe8-2bfd7f60d970/resource/af912a48-65eb-4fe5-ab63-d0edd153ffae/download/buildings-preservation-.itm.kml,KML,af912a48-65eb-4fe5-ab63-d0edd153ffae,False,True,False,[],"[""תכנית""]",matched keyword: תכנית,False,exclude,Relevant metadata but unsupported or missing resource format.
תכנון,מבנים לשימור,buildings-preservation-br7,עיריית באר שבע,"מיקומי המבנים לשימור הנמצאים ברחבי העיר - כפי שהוגדרו בתכנית המתאר העירונית ובוועדת השימור העירונית, שכבות שימור המבנים, הגדרות ומתחמים.

על מנת לקבל תמונה מלאה, מומלץ להוריד את השכבות ולצפות בהן יחד.",2022-10-27T08:01:00.664050,2026-05-10T01:13:09.233727,שימור אלמנטים - SHP,https://data.gov.il/dataset/0e8a1152-1cf2-4a9d-9fe8-2bfd7f60d970/resource/2f5d4c5e-3b7b-4dcf-b935-1faf93e83164/download/buildings-preservation-.zip,ZIP,2f5d4c5e-3b7b-4dcf-b935-1faf93e83164,False,True,False,[],"[""תכנית""]",matched keyword: תכנית,True,metadata_only,Broad planning/housing metadata only; not strict enough for automatic ingestion.
תכנון,מבנים לשימור,buildings-preservation-br7,עיריית באר שבע,"מיקומי המבנים לשימור הנמצאים ברחבי העיר - כפי שהוגדרו בתכנית המתאר העירונית ובוועדת השימור העירונית, שכבות שימור המבנים, הגדרות ומתחמים.

על מנת לקבל תמונה מלאה, מומלץ להוריד את השכבות ולצפות בהן יחד.",2022-10-27T08:01:00.664050,2026-05-10T01:13:09.233727,שימור אלמנטים - GeoJSON,https://data.gov.il/dataset/0e8a1152-1cf2-4a9d-9fe8-2bfd7f60d970/resource/4122e630-7e50-46e3-a224-b6171300f3fd/download/buildings-preservation-.geojson,GeoJSON,4122e630-7e50-46e3-a224-b6171300f3fd,False,True,False,[],"[""תכנית""]",matched keyword: תכנית,True,metadata_only,Broad planning/housing metadata only; not strict enough for automatic ingestion.
תכנון,מבנים לשימור,buildings-preservation-br7,עיריית באר שבע,"מיקומי המבנים לשימור הנמצאים ברחבי העיר - כפי שהוגדרו בתכנית המתאר העירונית ובוועדת השימור העירונית, שכבות שימור המבנים, הגדרות ומתחמים.

על מנת לקבל תמונה מלאה, מומלץ להוריד את השכבות ולצפות בהן יחד.",2022-10-27T08:01:00.664050,2026-05-10T01:13:09.233727,שימור אלמנטים - CSV,https://data.gov.il/dataset/0e8a1152-1cf2-4a9d-9fe8-2bfd7f60d970/resource/bdce1305-cab1-411c-ba22-d7df61484100/download/buildings-preservation-.csv,CSV,bdce1305-cab1-411c-ba22-d7df61484100,False,True,False,[],"[""תכנית""]",matched keyword: תכנית,True,metadata_only,Broad planning/housing metadata only; not strict enough for automatic ingestion.
תכנון,מבנים לשימור,buildings-preservation-br7,עיריית באר שבע,"מיקומי המבנים לשימור הנמצאים ברחבי העיר - כפי שהוגדרו בתכנית המתאר העירונית ובוועדת השימור העירונית, שכבות שימור המבנים, הגדרות ומתחמים.

על מנת לקבל תמונה מלאה, מומלץ להוריד את השכבות ולצפות בהן יחד.",2022-10-27T08:01:00.664050,2026-05-10T01:13:09.233727,שימור אלמנטים - GeoXML,https://data.gov.il/dataset/0e8a1152-1cf2-4a9d-9fe8-2bfd7f60d970/resource/fb5bee4e-cd58-44d6-93c4-bd297335a11d/download/buildings-preservation-.xml,XML,fb5bee4e-cd58-44d6-93c4-bd297335a11d,False,True,False,[],"[""תכנית""]",matched keyword: תכנית,False,exclude,Relevant metadata but unsupported or missing resource format.
תכנון,מבנים לשימור,buildings-preservation-br7,עיריית באר שבע,"מיקומי המבנים לשימור הנמצאים ברחבי העיר - כפי שהוגדרו בתכנית המתאר העירונית ובוועדת השימור העירונית, שכבות שימור המבנים, הגדרות ומתחמים.

על מנת לקבל תמונה מלאה, מומלץ להוריד את השכבות ולצפות בהן יחד.",2022-10-27T08:01:00.664050,2026-05-10T01:13:09.233727,שימור אלמנטים - KML,https://data.gov.il/dataset/0e8a1152-1cf2-4a9d-9fe8-2bfd7f60d970/resource/c5dd54fe-79ce-4475-827f-0762b523b39e/download/buildings-preservation-.kml,KML,c5dd54fe-79ce-4475-827f-0762b523b39e,False,True,False,[],"[""תכנית""]",matched keyword: תכנית,False,exclude,Relevant metadata but unsupported or missing resource format.
תכנון,מבנים לשימור,buildings-preservation-br7,עיריית באר שבע,"מיקומי המבנים לשימור הנמצאים ברחבי העיר - כפי שהוגדרו בתכנית המתאר העירונית ובוועדת השימור העירונית, שכבות שימור המבנים, הגדרות ומתחמים.

על מנת לקבל תמונה מלאה, מומלץ להוריד את השכבות ולצפות בהן יחד.",2022-10-27T08:01:00.664050,2026-05-10T01:13:09.233727,גדרות לשימור - KML-ITM,https://data.gov.il/dataset/0e8a1152-1cf2-4a9d-9fe8-2bfd7f60d970/resource/6b02e6c8-3d68-47f0-8ca8-7ac095b160c9/download/buildings-preservation-.itm.kml,KML,6b02e6c8-3d68-47f0-8ca8-7ac095b160c9,False,True,False,[],"[""תכנית""]",matched keyword: תכנית,False,exclude,Relevant metadata but unsupported or missing resource format.
תכנון,מבנים לשימור,buildings-preservation-br7,עיריית באר שבע,"מיקומי המבנים לשימור הנמצאים ברחבי העיר - כפי שהוגדרו בתכנית המתאר העירונית ובוועדת השימור העירונית, שכבות שימור המבנים, הגדרות ומתחמים.

על מנת לקבל תמונה מלאה, מומלץ להוריד את השכבות ולצפות בהן יחד.",2022-10-27T08:01:00.664050,2026-05-10T01:13:09.233727,מבנים לשימור - GeoJSON,https://data.gov.il/dataset/0e8a1152-1cf2-4a9d-9fe8-2bfd7f60d970/resource/941d98a3-395f-4161-8e6d-25271a8f351e/download/buildings-preservation-.geojson,GeoJSON,941d98a3-395f-4161-8e6d-25271a8f351e,False,True,False,[],"[""תכנית""]",matched keyword: תכנית,True,metadata_only,Broad planning/housing metadata only; not strict enough for automatic ingestion.
תכנון,מבנים לשימור,buildings-preservation-br7,עיריית באר שבע,"מיקומי המבנים לשימור הנמצאים ברחבי העיר - כפי שהוגדרו בתכנית המתאר העירונית ובוועדת השימור העירונית, שכבות שימור המבנים, הגדרות ומתחמים.

על מנת לקבל תמונה מלאה, מומלץ להוריד את השכבות ולצפות בהן יחד.",2022-10-27T08:01:00.664050,2026-05-10T01:13:09.233727,מבנים לשימור מתחמים - XML,https://data.gov.il/dataset/0e8a1152-1cf2-4a9d-9fe8-2bfd7f60d970/resource/70eef099-84eb-4e9e-bb98-bcee1a565cde/download/buildings-preservation-.xml,XML,70eef099-84eb-4e9e-bb98-bcee1a565cde,False,True,False,[],"[""תכנית""]",matched keyword: תכנית,False,exclude,Relevant metadata but unsupported or missing resource format.
